Age,Total,Totalct,Year,ag
0 to 9,9.03,4253,2019,"(4,253 : 9.03%)"
10 to 19,11.17,5259,2019,"(5,259 : 11.17%)"
20 to 29,26.64,12547,2019,"(12,547 : 26.64%)"
30 to 39,16.0,7537,2019,"(7,537 : 16.00%)"
40 to 49,10.61,4995,2019,"(4,995 : 10.61%)"
50 to 59,10.78,5078,2019,"(5,078 : 10.78%)"
60 to 69,8.06,3794,2019,"(3,794 : 8.06%)"
70 to 79,4.91,2313,2019,"(2,313 : 4.91%)"
80 and up,2.8,1320,2019,"(1,320 : 2.80%)"
0 to 9,9.72,4589,2020,"(4,589 : 9.72%)"
10 to 19,9.93,4687,2020,"(4,687 : 9.93%)"
20 to 29,26.41,12470,2020,"(12,470 : 26.41%)"
30 to 39,16.33,7711,2020,"(7,711 : 16.33%)"
40 to 49,10.59,5000,2020,"(5,000 : 10.59%)"
50 to 59,10.74,5070,2020,"(5,070 : 10.74%)"
60 to 69,8.63,4077,2020,"(4,077 : 8.63%)"
70 to 79,4.92,2321,2020,"(2,321 : 4.92%)"
80 and up,2.74,1292,2020,"(1,292 : 2.74%)"
