Age,10th & Page_T,Barracks / Rugby_T,Barracks Road_T,Belmont_T,Fifeville_T,Fry's Spring_T,Greenbrier_T,Jefferson Park Avenue_T,Johnson Village_T,Lewis Mountain_T,Locust Grove_T,Martha Jefferson_T,North Downtown_T,Ridge Street_T,Rose Hill_T,Starr Hill_T,The Meadows_T,Venable_T,Woolen Mills_T,10th & Page_Tct,Barracks / Rugby_Tct,Barracks Road_Tct,Belmont_Tct,Fifeville_Tct,Fry's Spring_Tct,Greenbrier_Tct,Jefferson Park Avenue_Tct,Johnson Village_Tct,Lewis Mountain_Tct,Locust Grove_Tct,Martha Jefferson_Tct,North Downtown_Tct,Ridge Street_Tct,Rose Hill_Tct,Starr Hill_Tct,The Meadows_Tct,Venable_Tct,Woolen Mills_Tct,Year
70 to 74,0.0,2.3210831721470018,0.0,3.4561626429479033,1.5814741598418527,4.965646470955653,5.392156862745098,1.070711577068927,1.2138728323699421,2.573529411764706,1.3215859030837005,2.318840579710145,2.8330019880715707,1.9056261343012704,0.8893280632411067,5.703883495145631,2.2400919012062035,0.7623515613546401,4.776422764227642,0,48,0,136,56,159,121,48,21,21,30,32,57,63,9,47,39,52,47,2013
75 to 79,0.0,2.756286266924565,0.0,2.4142312579415504,0.33888731996611127,1.499063085571518,4.367201426024955,0.0,2.138728323699422,0.0,3.700440528634361,1.7391304347826086,3.628230616302187,1.2704174228675136,1.383399209486166,5.218446601941747,4.365307294658242,0.8209939891511508,1.2195121951219512,0,57,0,95,12,48,98,0,37,0,84,24,73,42,14,43,76,56,12,2013
80 to 84,12.223515715948778,0.38684719535783363,0.0,1.6010165184243965,0.7060152499293985,2.2485946283572766,2.1390374331550803,0.0,0.4046242774566474,0.0,3.788546255506608,1.7391304347826086,1.4413518886679921,0.3629764065335753,0.0,3.3980582524271843,1.7805858701895463,0.7037091335581293,2.1341463414634148,105,8,0,63,25,72,48,0,7,0,86,24,29,12,0,28,31,48,21,2013
85 and up,0.0,3.288201160541586,0.0,0.35578144853875476,0.6777746399322225,1.155527795128045,4.723707664884135,0.0,0.0,1.3480392156862746,1.7180616740088106,2.8260869565217392,1.6898608349900597,0.3932244404113733,1.383399209486166,4.854368932038835,2.929350947731189,0.1759272833895323,0.0,0,68,0,14,24,37,106,0,0,11,39,39,34,13,14,40,51,12,0,2013
0 to 4,5.641492265696088,5.904581955597544,4.426559356136821,3.977272727272727,9.824561403508772,8.100470957613815,5.887939221272554,0.7865168539325843,14.386673397274103,0.0,8.554160855416086,8.106001558846454,6.18860510805501,9.869753979739508,2.0607375271149673,2.2248243559718968,4.136604136604136,0.804162724692526,6.666666666666667,62,125,22,168,364,258,124,35,285,0,184,104,126,341,19,19,86,51,77,2014
5 to 9,5.550500454959054,6.613131790269249,0.0,5.042613636363637,3.4817813765182186,0.0,5.84045584045584,0.4943820224719101,6.208985360928824,0.0,3.440260344026034,3.3515198752922837,5.009823182711198,9.638205499276411,2.6030368763557483,0.0,7.359307359307359,1.8921475875118259,5.367965367965368,61,140,0,213,129,0,123,22,123,0,74,43,102,333,24,0,153,120,62,2014
10 to 14,5.095541401273885,4.440245630609353,2.414486921529175,3.503787878787879,6.288798920377868,3.3594976452119307,6.220322886989553,0.2696629213483146,7.370015143866734,0.0,3.8586703858670384,4.286827747466875,3.732809430255403,4.891461649782923,6.941431670281996,0.0,4.858104858104858,1.1825922421948911,8.225108225108226,56,94,12,148,233,107,131,12,146,0,83,55,76,169,64,0,101,75,95,2014
15 to 19,3.0937215650591448,4.6764289088332545,17.907444668008047,5.421401515151516,5.53306342780027,3.328100470957614,3.89363722697056,17.146067415730336,4.341241797072186,16.435185185185187,3.0683403068340307,4.053000779423227,1.8664047151277015,5.4703328509406655,4.4468546637744035,0.702576112412178,4.473304473304474,14.1122674235257,0.6060606060606061,34,99,89,229,205,106,82,763,86,142,66,52,38,189,41,6,93,895,7,2014
20 to 24,10.009099181073703,5.43221539914974,33.80281690140845,5.918560606060606,10.715249662618083,8.194662480376767,2.849002849002849,53.348314606741575,14.68955073195356,45.833333333333336,3.2543003254300324,1.558846453624318,5.157170923379175,5.904486251808972,21.25813449023861,6.557377049180328,6.878306878306878,55.94449700409965,13.593073593073592,110,115,168,250,397,261,60,2374,291,396,70,20,105,204,196,56,143,3548,157,2014
25 to 29,5.368516833484986,7.085498346717053,17.907444668008047,12.949810606060606,9.743589743589743,17.92778649921507,5.413105413105413,14.134831460674157,8.17768803634528,17.824074074074073,9.669920966992096,8.495713172252533,12.426326129666013,10.24602026049204,15.61822125813449,28.220140515222482,16.402116402116402,8.514664143803216,12.380952380952381,59,150,89,547,361,571,114,629,162,154,208,109,253,354,144,241,341,540,143,2014
