Age,10th & Page_T,Barracks / Rugby_T,Barracks Road_T,Belmont_T,Fifeville_T,Fry's Spring_T,Greenbrier_T,Jefferson Park Avenue_T,Johnson Village_T,Lewis Mountain_T,Locust Grove_T,Martha Jefferson_T,North Downtown_T,Ridge Street_T,Rose Hill_T,Starr Hill_T,The Meadows_T,Venable_T,Woolen Mills_T,10th & Page_Tct,Barracks / Rugby_Tct,Barracks Road_Tct,Belmont_Tct,Fifeville_Tct,Fry's Spring_Tct,Greenbrier_Tct,Jefferson Park Avenue_Tct,Johnson Village_Tct,Lewis Mountain_Tct,Locust Grove_Tct,Martha Jefferson_Tct,North Downtown_Tct,Ridge Street_Tct,Rose Hill_Tct,Starr Hill_Tct,The Meadows_Tct,Venable_Tct,Woolen Mills_Tct,Year
30 to 34,10.360655737704919,9.986000933271114,7.7844311377245505,9.07643312101911,11.149455800371648,16.08433734939759,4.132628543969245,8.399896933779953,4.4543429844097995,1.5513126491646778,9.448818897637794,14.835858585858587,8.52059925093633,10.94742189484379,8.563899868247693,14.100185528756958,7.707222491517208,3.0210016155088852,9.238095238095237,158,214,65,399,420,534,86,326,80,13,204,235,182,431,65,152,159,187,97,2016
35 to 39,9.114754098360656,5.5529631357909475,1.3173652694610778,9.05368516833485,6.105654366870189,7.891566265060241,7.2080730418068235,0.8245297603710384,7.461024498886414,3.818615751789976,10.884668828161185,10.47979797979798,10.861423220973784,8.026416052832106,6.851119894598155,5.287569573283859,9.694619486185168,1.3247172859450727,2.6666666666666665,139,119,11,398,230,262,150,32,134,32,235,166,232,316,52,57,200,82,28,2016
40 to 44,5.377049180327869,4.153056462902473,1.3173652694610778,8.9171974522293,4.9641624634988055,2.5602409638554215,5.814512253724171,0.38649832517392424,9.57683741648107,3.341288782816229,5.511811023622047,9.659090909090908,10.299625468164795,6.1468122936245875,8.168642951251647,4.452690166975882,6.156083373727581,4.103392568659127,1.5238095238095237,82,89,11,392,187,85,121,15,172,28,119,153,220,242,62,48,127,254,16,2016
45 to 49,0.5245901639344263,9.052729818012132,0.9580838323353293,7.415832575068244,6.424210246880807,8.373493975903614,7.9769341662662185,1.082195310486988,12.694877505567929,1.909307875894988,8.337193144974526,4.356060606060606,5.617977528089888,5.486410972821946,2.898550724637681,6.029684601113172,2.5206010664081435,1.567043618739903,7.809523809523809,8,194,8,326,242,278,166,42,228,16,180,69,120,216,22,65,52,97,82,2016
50 to 54,5.967213114754099,7.092860475968269,1.437125748502994,5.368516833484986,7.8577117069285904,6.024096385542169,5.382027871215762,0.9533625354290132,2.951002227171492,1.431980906921241,8.383510884668828,4.608585858585859,5.664794007490637,7.1882143764287525,13.570487483530961,1.1131725417439704,5.428986912263694,2.6494345718901453,5.142857142857143,91,152,12,236,296,200,112,37,53,12,181,73,121,283,103,12,112,164,54,2016
55 to 59,12.19672131147541,8.772748483434437,0.0,6.574158325750682,3.902309530130077,8.825301204819278,7.063911580970688,1.494460190672507,5.6236080178173715,3.818615751789976,7.13293191292265,4.166666666666667,8.380149812734082,4.3180086360172725,7.7733860342556,1.5769944341372912,11.730489578284052,1.8093699515347335,16.761904761904763,186,188,0,289,147,293,147,58,101,32,154,66,179,170,59,17,242,112,176,2016
60 to 64,0.9180327868852459,5.599626691553897,3.592814371257485,4.686078252957234,7.247146270241571,3.072289156626506,9.370494954348871,0.0,2.2271714922048997,7.040572792362768,7.5034738304770725,7.3232323232323235,7.584269662921348,6.934213868427737,0.0,2.5974025974025974,4.07174018419777,1.680129240710824,8.666666666666666,14,120,30,206,273,102,195,0,40,59,162,116,162,273,0,28,84,104,91,2016
65 to 69,2.1639344262295084,2.379841343910406,0.0,3.4121929026387625,3.663392620122113,2.6506024096385543,9.418548774627583,0.4380314351971141,6.347438752783964,2.028639618138425,3.6127836961556277,6.565656565656566,2.247191011235955,2.616205232410465,0.0,4.7309833024118735,3.4415899175957345,1.4862681744749595,2.380952380952381,33,51,0,150,138,88,196,17,114,17,78,104,48,103,0,51,71,92,25,2016
70 to 74,1.8360655737704918,4.153056462902473,0.0,4.617834394904459,2.8404565967613484,3.5843373493975905,7.063911580970688,0.33496521515073435,2.6169265033407574,1.3126491646778042,1.3895321908290876,1.8308080808080809,3.4644194756554305,1.651003302006604,0.5270092226613966,7.699443413729128,1.3087736306349975,0.840064620355412,1.9047619047619047,28,89,0,203,107,119,147,13,47,11,30,29,74,65,4,83,27,52,20,2016
75 to 79,1.7704918032786885,3.2664489034064395,0.0,1.7288444040036397,0.504380143350146,0.0,2.787121576165305,0.4380314351971141,2.282850779510022,1.0739856801909309,1.5748031496062993,0.0,1.591760299625468,2.1082042164084327,0.0,4.267161410018553,1.454192922927775,0.5169628432956381,2.9523809523809526,27,70,0,76,19,0,58,17,41,9,34,0,34,83,0,46,30,32,31,2016
80 to 84,0.9180327868852459,1.2599160055996268,0.0,1.0236578707916288,0.8760286700292009,1.8373493975903614,3.700144161460836,0.9018294254058232,2.4498886414253898,0.954653937947494,2.825382121352478,4.545454545454546,0.7490636704119851,0.1778003556007112,0.0,3.4322820037105752,1.4057198254968493,0.3715670436187399,2.0,14,27,0,45,33,61,77,35,44,8,61,72,16,7,0,37,29,23,21,2016
85 and up,0.0,2.70648623425105,0.0,0.7279344858962693,2.52190071675073,0.8433734939759037,3.363767419509851,0.0,0.0,2.2673031026252985,2.5011579434923576,0.5050505050505051,1.4981273408239701,0.5588011176022352,0.0,6.122448979591836,2.035870092098885,0.32310177705977383,0.0,0,58,0,32,95,28,70,0,0,19,54,8,32,22,0,66,42,20,0,2016
0 to 4,8.959899749373433,6.564885496183206,6.25,4.045987176652664,10.074916042366313,10.153148043108338,5.673431734317343,2.246907346629639,7.153144503120499,1.206140350877193,7.099767981438515,5.656819610307982,3.094170403587444,7.089456045372518,3.575685339690107,8.62895493767977,6.387434554973822,0.5681818181818182,6.869479882237488,143,129,55,183,390,358,123,89,149,11,153,90,69,275,30,90,122,36,70,2017
5 to 9,2.0676691729323307,5.292620865139949,0.0,4.2449701525536145,5.347455437871351,1.9568916619398753,4.797047970479705,1.136076748295885,7.825252040326452,1.9736842105263157,3.5730858468677495,6.285355122564425,5.7847533632287,8.945604537251869,5.244338498212158,0.9587727708533078,6.9109947643979055,2.0833333333333335,6.378802747791953,33,104,0,192,207,69,104,45,163,18,77,100,129,347,44,10,132,132,65,2017
10 to 14,5.075187969924812,3.2569974554707377,1.1363636363636365,4.2228609330090645,7.233273056057866,4.480998298355076,4.704797047970479,0.3786922494319616,8.401344215074412,0.0,4.269141531322505,3.2055311125078565,3.5426008968609866,6.470739881412735,10.727056019070321,1.5340364333652925,4.554973821989528,2.067550505050505,2.2571148184494603,81,64,10,191,280,158,102,15,175,0,92,51,79,251,90,16,87,131,23,2017
15 to 19,2.0676691729323307,2.849872773536896,8.295454545454545,2.96263541896971,2.867476104365797,1.8718094157685763,4.197416974169742,18.050997222923503,0.8161305808929429,27.74122807017544,5.058004640371229,3.0798240100565684,3.2286995515695067,2.7584428976540347,5.601907032181168,0.9587727708533078,2.931937172774869,18.8604797979798,1.7664376840039253,33,56,73,134,111,66,91,715,17,253,109,49,72,107,47,10,56,1195,18,2017
20 to 24,16.791979949874687,4.427480916030534,24.431818181818183,3.0731815166924608,7.3882717644019635,6.636415201361316,2.7675276752767526,46.47816208028276,0.0,29.605263157894736,0.7424593967517401,2.1370207416719045,5.201793721973094,4.640371229698376,13.110846245530393,8.149568552253116,4.0837696335078535,47.66414141414141,4.906771344455349,268,87,215,139,286,234,60,1841,0,270,16,34,116,180,110,85,78,3020,50,2017
25 to 29,17.794486215538846,10.636132315521628,48.06818181818182,15.498562900729604,13.872384396796694,14.804310833806012,1.2915129151291513,13.885382479171927,11.473835813730197,5.81140350877193,11.368909512761022,12.822124450031426,12.286995515695068,10.208816705336426,7.032181168057211,14.956855225311601,12.984293193717278,8.191287878787879,9.519136408243376,284,209,423,701,537,522,28,550,239,53,245,204,274,396,59,156,248,519,97,2017
30 to 34,6.390977443609023,12.366412213740459,6.4772727272727275,10.236568649126685,7.827434771376905,15.484968803176404,3.8284132841328415,9.467306235799041,6.481036965914546,1.5350877192982457,9.048723897911833,10.873664362036456,7.219730941704036,12.761020881670534,7.032181168057211,12.655800575263662,10.104712041884817,3.0303030303030303,13.54268891069676,102,243,57,463,303,546,83,375,135,14,195,173,161,495,59,132,193,192,138,2017
35 to 39,10.651629072681704,5.852417302798982,0.0,10.678753040017687,6.639111340738827,6.4095292115711855,7.1033210332103325,0.9088613986367079,6.481036965914546,3.9473684210526314,10.951276102088167,9.239472030169704,11.614349775784753,8.662026295436968,5.601907032181168,6.327900287631831,10.471204188481675,1.1363636363636365,3.434739941118744,170,115,0,483,257,226,154,36,135,36,236,147,259,336,47,66,200,72,35,2017
40 to 44,4.197994987468672,4.681933842239186,1.3636363636363635,7.428697766968826,2.7899767501937482,3.0913216108905277,4.474169741697417,0.45443069931835395,14.210273643783005,5.81140350877193,4.037122969837587,12.633563796354494,8.878923766816143,7.192575406032483,6.6746126340882,3.9309683604985617,8.219895287958115,3.67739898989899,1.7664376840039253,67,92,12,336,108,109,97,18,296,53,87,201,198,279,56,41,157,233,18,2017
45 to 49,0.5639097744360902,8.651399491094148,0.0,8.202520451028079,7.155773701885818,6.8633011911514465,6.734317343173432,0.7573844988639232,8.881421027364379,2.0833333333333335,10.951276102088167,7.039597737272156,6.098654708520179,5.980922918277907,1.0727056019070322,2.4928092042186,2.094240837696335,2.067550505050505,8.635917566241414,9,170,0,371,277,242,146,30,185,19,236,112,136,232,9,26,40,131,88,2017
50 to 54,7.142857142857143,5.089058524173028,0.0,5.328321910236569,8.008266597778352,7.090187180941577,7.24169741697417,1.4895228477657156,3.312530004800768,1.8640350877192982,8.723897911832946,7.730986800754243,5.9192825112107625,4.459912348543439,15.613825983313468,2.109300095877277,5.863874345549738,2.509469696969697,4.906771344455349,114,100,0,241,310,250,157,59,69,17,188,123,132,173,131,22,112,159,50,2017
55 to 59,11.027568922305765,10.483460559796438,0.0,5.72628786203847,4.6241281322655645,8.791832104367556,7.472324723247232,1.565261297652108,10.849735957753241,4.057017543859649,7.517401392111369,1.8227529855436833,9.596412556053812,5.748904356792988,5.8402860548271756,1.2464046021093,13.298429319371728,2.398989898989899,14.818449460255152,176,206,0,259,179,310,162,62,226,37,162,29,214,223,49,13,254,152,151,2017
60 to 64,0.8771929824561403,5.5470737913486,3.977272727272727,4.576608445721866,6.432446396280031,2.212138400453772,9.686346863468634,0.07573844988639232,2.8804608737397985,6.907894736842105,5.150812064965197,7.416719044626022,8.340807174887892,6.187161639597835,0.0,1.6299137104506232,1.9371727748691099,1.9255050505050506,6.673209028459274,14,109,35,207,249,78,210,3,60,63,111,118,186,240,0,17,37,122,68,2017
65 to 69,1.8170426065162908,4.427480916030534,0.0,5.261994251602919,3.5908034099715835,2.8077141236528647,10.193726937269373,0.7068921989396617,4.7527604416706675,3.0701754385964914,3.897911832946636,4.58830923947203,2.690582959641256,3.634957463263728,0.834326579261025,5.465004793863854,3.8219895287958114,1.4046717171717171,4.5142296368989205,29,87,0,238,139,99,221,28,99,28,84,73,60,141,7,57,73,89,46,2017
70 to 74,2.0050125313283207,4.987277353689567,0.0,4.2007517134645145,2.479979333505554,2.864435621100397,9.916974169741698,0.555415299166877,2.496399423907825,0.0,0.7424593967517401,0.754242614707731,2.9596412556053813,1.9077081722093323,6.5554231227651965,13.7104506232023,1.361256544502618,1.231060606060606,1.4720314033366044,32,98,0,190,96,101,215,22,52,0,16,12,66,74,55,143,26,78,15,2017
75 to 79,1.8170426065162908,2.2391857506361323,0.0,2.3877957108114085,0.8266597778351847,0.0,3.2287822878228782,0.6563998990154002,2.256361017762842,1.644736842105263,1.4849187935034802,0.6913890634820867,1.390134529147982,2.217066254189224,0.9535160905840286,2.876318312559923,1.2041884816753927,0.3472222222222222,7.654563297350344,29,44,0,108,32,0,70,26,47,15,32,11,31,86,8,30,23,22,78,2017
80 to 84,0.7518796992481203,0.4580152671755725,0.0,0.7738226840592527,0.6458279514337381,2.098695405558707,4.1512915129151295,1.1865690482201465,1.7282765242438791,0.7675438596491229,2.5522041763341066,3.5826524198617222,0.5829596412556054,0.23201856148491878,0.0,5.177372962607862,1.5183246073298429,0.5366161616161617,0.8832188420019627,12,9,0,35,25,74,90,47,36,7,55,57,13,9,0,54,29,34,9,2017
85 and up,0.0,2.188295165394402,0.0,1.149679416316604,2.1958150348747094,2.38230289279637,2.53690036900369,0.0,0.0,1.9736842105263157,2.8306264501160094,0.43997485857950974,1.5695067264573992,0.9022944057746842,4.529201430274136,7.1907957813998085,2.25130890052356,0.29987373737373735,0.0,0,43,0,52,85,84,55,0,0,18,61,7,35,35,38,75,43,19,0,2017
0 to 4,10.541642399534071,6.933457422056771,5.0,4.206331636041621,9.32642487046632,11.346704871060172,5.033707865168539,1.2308533916849016,10.922787193973635,0.967741935483871,6.197057512260366,1.5456989247311828,3.260869565217391,5.882352941176471,3.896103896103896,7.925801011804385,6.771894093686354,0.46375019322924715,7.706592386258125,181,149,44,190,378,396,112,45,232,9,139,23,66,240,30,94,133,30,83,2018
5 to 9,3.4944670937682005,6.561191251744997,0.0,6.464467566969227,5.0826548235874665,4.412607449856734,4.943820224719101,0.4923413566739606,4.8964218455743875,1.8279569892473118,3.120820329915292,4.233870967741935,5.780632411067193,8.382352941176471,1.948051948051948,0.42158516020236086,8.095723014256619,1.5922089967537487,6.59238625812442,60,141,0,292,206,154,110,18,104,17,70,63,117,342,15,5,159,103,71,2018
10 to 14,4.42632498543972,3.4899953466728713,0.5681818181818182,2.855877794996679,5.896866518628177,3.151862464183381,4.98876404494382,0.3282275711159737,6.0263653483992465,0.0,5.127061970575123,9.13978494623656,2.766798418972332,7.328431372549019,5.8441558441558445,1.1804384485666104,3.8187372708757636,1.7004173751739062,2.2284122562674096,76,75,5,129,239,110,111,12,128,0,115,136,56,299,45,14,75,110,24,2018
15 to 19,3.4362259755387305,2.6989297347603536,9.659090909090908,2.966570732787248,4.515173945225759,1.489971346704871,4.629213483146067,19.967177242888404,1.3182674199623352,32.365591397849464,6.5091395452518945,3.629032258064516,3.656126482213439,3.5784313725490198,6.753246753246753,1.2647554806070826,1.4765784114052953,18.302674292780956,1.392757660167131,59,58,85,134,183,52,103,730,28,301,146,54,74,146,52,15,29,1184,15,2018
20 to 24,13.395457192778101,4.141461144718474,21.25,2.1031658180208104,8.906982482112015,6.67621776504298,2.651685393258427,45.322757111597376,1.271186440677966,30.0,0.7579135086937138,1.075268817204301,5.533596837944664,5.073529411764706,13.506493506493506,6.408094435075886,2.9022403258655802,49.961354150564226,4.735376044568246,230,89,187,95,361,233,59,1657,27,279,17,16,112,207,104,76,57,3232,51,2018
25 to 29,13.395457192778101,10.469986040018613,49.77272727272727,12.37547044498561,14.113002714038984,14.613180515759312,1.8426966292134832,14.195842450765864,9.6045197740113,3.5483870967741935,11.547035220686581,9.744623655913978,12.598814229249012,10.073529411764707,7.142857142857143,14.924114671163576,14.918533604887983,7.219044674601948,9.470752089136491,230,225,438,559,572,510,41,519,204,33,259,145,255,411,55,177,293,467,102,2018
30 to 34,5.882352941176471,11.447184737087017,5.795454545454546,10.51582909010405,7.401924500370097,15.071633237822349,3.0112359550561796,7.959518599562363,7.344632768361582,0.0,8.33704859563085,10.349462365591398,7.164031620553359,13.406862745098039,5.584415584415584,14.165261382799326,8.29938900203666,3.5245014685422786,14.577530176415971,101,246,51,475,300,526,67,291,156,0,187,154,145,547,43,168,163,228,157,2018
35 to 39,13.220733838089691,6.607724523033969,0.0,13.150321009519592,6.711078213668888,6.7908309455587395,8.764044943820224,1.4223194748358863,4.048964218455744,3.763440860215054,8.64913062862238,13.575268817204302,8.201581027667984,9.019607843137255,7.2727272727272725,9.021922428330523,9.114052953156822,0.8811253671355697,3.992571959145775,227,142,0,594,272,237,195,52,86,35,194,202,166,368,56,107,179,57,43,2018
40 to 44,6.29004076878276,5.258259655653792,1.3636363636363635,5.888864290458269,4.194423883543054,3.32378223495702,3.50561797752809,0.7111597374179431,13.700564971751412,5.053763440860215,7.133303611234953,11.559139784946236,7.905138339920948,7.671568627450981,3.6363636363636362,2.866779089376054,10.234215885947046,3.756376565156902,2.042711234911792,108,113,12,266,170,116,78,26,291,47,160,172,160,313,28,34,201,243,22,2018
45 to 49,2.09668025626092,9.678920428106096,2.727272727272727,6.88510073057339,5.674808783617074,7.936962750716332,6.561797752808989,1.5864332603938731,8.192090395480227,3.118279569892473,10.610789121711992,8.131720430107526,6.027667984189724,5.759803921568627,1.1688311688311688,3.1197301854974704,2.5967413441955194,2.0559591899829956,9.842154131847725,36,208,24,311,230,277,146,58,174,29,238,121,122,235,9,37,51,133,106,2018
50 to 54,3.14502038439138,4.094927873429502,0.0,8.102723046269649,9.153713298791018,7.2206303724928365,6.966292134831461,1.5864332603938731,2.401129943502825,1.075268817204301,7.133303611234953,7.93010752688172,7.164031620553359,4.362745098039215,13.766233766233766,1.6020236087689714,5.448065173116089,2.3032926263719276,3.806870937790158,54,88,0,366,371,252,155,58,51,10,160,118,145,178,106,19,107,149,41,2018
55 to 59,6.75596971461852,10.981852024197302,0.0,6.265220278946203,4.391808536886257,7.191977077363897,8.269662921348315,1.8326039387308535,12.005649717514125,3.4408602150537635,7.22246990637539,2.217741935483871,8.102766798418973,5.294117647058823,10.12987012987013,0.7588532883642496,12.474541751527495,2.6279177616324008,16.15598885793872,116,236,0,283,178,251,184,67,255,32,162,33,164,216,78,9,245,170,174,2018
60 to 64,0.17472335468841002,6.188925081433225,3.8636363636363638,6.198804516271862,5.822847273624475,1.7478510028653296,10.426966292134832,0.08205689277899343,3.0602636534839927,5.806451612903226,5.48372715113687,6.518817204301075,9.980237154150197,5.269607843137255,0.5194805194805194,1.6020236087689714,2.443991853360489,1.9786674911114546,4.735376044568246,3,133,34,280,236,61,232,3,65,54,123,97,202,215,4,19,48,128,51,2018
65 to 69,3.9603960396039604,4.234527687296417,0.0,3.5864511844144342,3.5035775968418457,2.9226361031518624,9.123595505617978,0.7658643326039387,4.143126177024482,3.3333333333333335,4.725813642443156,5.779569892473118,4.446640316205533,3.235294117647059,2.857142857142857,7.588532883642496,3.6659877800407332,1.236667181944659,4.085422469823584,68,91,0,162,142,102,203,28,88,31,106,86,90,132,22,90,72,80,44,2018
70 to 74,5.41642399534071,4.420660772452304,0.0,4.7376577374363515,2.3439427584505306,0.6017191977077364,9.438202247191011,0.4102844638949672,6.3559322033898304,1.1827956989247312,1.560410164957646,0.0,3.507905138339921,1.3725490196078431,8.831168831168831,11.888701517706577,2.9022403258655802,1.3294172205905086,0.9285051067780873,93,95,0,214,95,21,210,15,135,11,35,0,71,56,68,141,57,86,10,2018
75 to 79,4.018637157833431,1.3494648673801768,0.0,1.8817799424396724,0.6661732050333087,0.0,3.4157303370786516,0.4923413566739606,1.7890772128060264,1.7204301075268817,2.050824788230049,1.6129032258064515,1.8774703557312253,2.9411764705882355,2.857142857142857,2.4451939291736933,0.814663951120163,0.34008347503478126,5.942432683379758,69,29,0,85,27,0,76,18,38,16,46,24,38,120,22,29,16,22,64,2018
80 to 84,0.34944670937682004,0.41879944160074456,0.0,0.6862962143015275,0.2467308166790032,1.7765042979942693,4.49438202247191,1.613785557986871,2.919020715630885,1.3978494623655915,2.0062416406598307,2.956989247311828,0.642292490118577,0.29411764705882354,0.9090909090909091,3.794266441821248,1.5274949083503055,0.38645849435770596,1.7641597028783658,6,9,0,31,10,62,100,59,62,13,45,44,13,12,7,45,30,25,19,2018
85 and up,0.0,1.0237319683573756,0.0,1.1290679654638034,2.047865778435727,3.7249283667621778,1.9325842696629214,0.0,0.0,1.3978494623655915,1.8279090503789568,0.0,1.383399209486166,1.053921568627451,3.3766233766233764,9.021922428330523,2.494908350305499,0.34008347503478126,0.0,0,22,0,51,83,130,43,0,0,13,41,0,28,43,26,107,49,22,0,2018
0 to 4,7.925696594427245,7.367387033398821,3.7610619469026547,1.6788159929313011,8.116723884256988,11.156542056074766,2.614678899082569,3.0519659059664557,6.516413522782949,0.896414342629482,7.176622260421143,2.2611644997173546,3.998025666337611,5.698070374574347,3.7735849056603774,6.686930091185411,8.216783216783217,0.5289406075260692,12.853470437017995,128,150,34,76,331,382,57,111,133,9,167,40,81,251,24,66,141,35,150,2019
5 to 9,9.969040247678018,7.269155206286837,0.0,3.2250938811574996,4.855321235899951,4.264018691588785,6.009174311926605,0.6598845202089634,6.124448799608035,1.6932270916334662,3.008165019338204,5.370265686828716,5.676209279368213,5.879682179341657,2.20125786163522,0.5065856129685917,5.244755244755245,1.4508085235000756,4.027420736932305,161,148,0,146,198,146,131,24,125,17,70,95,115,259,14,5,90,96,47,2019
10 to 14,7.554179566563468,2.06286836935167,0.0,4.086591561740667,8.729769494850418,3.8843457943925235,4.770642201834862,0.35743744844652187,8.9171974522293,0.49800796812749004,5.199828104856038,7.801017524024873,3.8005923000987165,7.6276958002270145,2.358490566037736,1.0131712259371835,5.06993006993007,1.4205833459271573,2.9134532990574122,122,42,0,185,356,133,104,13,182,5,121,138,77,336,15,10,87,94,34,2019
15 to 19,4.705882352941177,1.8664047151277015,9.734513274336283,4.197039982328253,3.506620892594409,2.3656542056074765,4.174311926605505,18.971679956007698,1.1268985791278785,26.99203187250996,5.0709067468844005,2.091577162238553,4.985192497532083,3.9727582292849033,8.962264150943396,0.9118541033434651,2.972027972027972,14.160495692912196,2.4850042844901457,76,38,88,190,143,81,91,690,23,271,118,37,101,175,57,9,51,937,29,2019
20 to 24,17.027863777089784,3.143418467583497,33.1858407079646,2.1426993593991606,7.430112800392349,7.418224299065421,2.2477064220183487,44.67968105581523,2.106810387065164,31.772908366533866,0.47271164589600345,1.7524024872809496,6.021717670286279,3.5641316685584563,10.69182389937107,6.585612968591692,2.3892773892773893,50.92942421036724,2.9134532990574122,275,64,300,97,303,254,49,1625,43,319,11,31,122,157,68,65,41,3370,34,2019
25 to 29,12.569659442724458,12.671905697445972,46.23893805309734,9.211398277004639,12.677783227072094,12.938084112149532,2.4311926605504586,11.712950233709101,7.594316511513964,6.673306772908367,8.250966910184788,16.28038439796495,9.871668311944719,10.03405221339387,4.40251572327044,12.867274569402229,14.335664335664335,10.397461085083874,12.939160239931448,203,258,418,417,517,443,53,426,155,67,192,288,200,442,28,127,246,688,151,2019
30 to 34,7.678018575851393,14.341846758349705,2.8761061946902653,12.679478683454827,10.201078960274645,14.836448598130842,2.018348623853211,8.743469892768765,4.409603135717785,0.0,9.153416415986248,8.140192198982476,8.933859822309971,14.846765039727583,5.9748427672955975,16.0081053698075,10.314685314685315,2.5993652712709685,11.053984575835475,124,292,26,574,416,508,44,318,90,0,213,144,181,654,38,158,177,172,129,2019
35 to 39,10.773993808049536,7.318271119842829,0.0,12.259774685222002,6.351152525747915,12.44158878504673,8.53211009174312,1.539730547154248,5.683488486036257,1.6932270916334662,6.961753330468414,13.397399660825325,7.650542941757157,10.261066969353008,4.245283018867925,7.598784194528875,6.75990675990676,1.1787819253438114,3.341902313624679,174,149,0,555,259,426,186,56,116,17,162,237,155,452,27,75,116,78,39,2019
40 to 44,3.4055727554179565,4.616895874263261,0.0,5.98630439584714,4.3403629230014715,4.380841121495327,4.3577981651376145,1.4847401704701677,13.96374326310632,4.681274900398407,8.250966910184788,8.875070661390616,5.972359328726554,7.650397275822929,1.4150943396226414,6.079027355623101,10.547785547785548,2.629590448843887,2.3993144815766922,55,94,0,271,177,150,95,54,285,47,192,157,121,337,9,60,181,174,28,2019
45 to 49,1.7956656346749227,8.25147347740668,2.6548672566371683,7.6651203887784405,5.689063266307013,5.40303738317757,8.761467889908257,0.8523508386032445,10.338069573738364,5.179282868525896,10.141813493768801,7.235726399095534,6.5153010858835145,4.063564131668558,5.188679245283019,1.3171225937183384,3.1468531468531467,2.7202659815626418,7.112253641816624,29,168,24,347,232,185,191,31,211,52,236,128,132,179,33,13,54,180,83,2019
50 to 54,3.1578947368421053,3.143418467583497,0.0,7.179147338193064,7.699852869053458,6.25,6.834862385321101,2.062139125653011,2.449779519843214,2.191235059760956,5.3717232488182205,7.801017524024873,7.206317867719645,5.8569807037457435,16.352201257861637,1.4184397163120568,3.9627039627039626,2.644703037630346,8.140531276778063,51,64,0,325,314,214,149,75,50,22,125,138,146,258,104,14,68,175,95,2019
55 to 59,5.139318885448916,9.135559921414538,0.0,7.400044179368235,4.315841098577734,4.234813084112149,7.293577981651376,1.4847401704701677,11.90592846643802,4.282868525896414,6.961753330468414,1.9785189372526852,7.7986179664363275,6.56072644721907,9.90566037735849,0.7092198581560284,14.86013986013986,2.2215505516094907,12.939160239931448,83,186,0,335,176,145,159,54,243,43,162,35,158,289,63,7,255,147,151,2019
60 to 64,0.0,4.862475442043222,1.5486725663716814,9.962447537000221,7.111329082883767,1.6063084112149533,8.211009174311927,0.08248556502612042,1.8128368446839784,5.378486055776892,8.551783412118608,4.2962125494629735,6.811451135241856,5.448354143019296,1.10062893081761,1.5197568389057752,2.156177156177156,2.372676439474082,4.284490145672665,0,99,14,451,290,55,179,3,37,54,199,76,138,240,7,15,37,157,50,2019
65 to 69,4.643962848297214,5.697445972495088,0.0,3.0925557764523965,3.5556645414418835,2.336448598130841,9.908256880733944,2.0346439373109706,3.282704556589907,2.49003984063745,7.176622260421143,5.822498586772188,4.886475814412636,3.087400681044268,3.6163522012578615,9.321175278622087,1.2820512820512822,0.8614175608281699,4.7986289631533845,75,116,0,140,145,80,216,74,67,25,167,103,99,136,23,92,22,57,56,2019
70 to 74,0.5572755417956656,4.960707269155206,0.0,5.478241661144246,2.329573320255027,1.4310747663551402,10.137614678899082,0.8248556502612043,8.084272415482607,1.095617529880478,1.504082509669102,1.582815149802148,5.774925962487661,1.6345062429057888,12.89308176100629,12.158054711246201,2.5058275058275057,1.4659211122865348,0.856898029134533,9,101,0,248,95,49,221,30,165,11,35,28,117,72,82,120,43,97,10,2019
75 to 79,3.0340557275541795,1.6208251473477406,0.0,1.7229953611663353,0.392349190779794,0.6133177570093458,3.4862385321100917,0.577398955182843,3.0377266046055853,1.6932270916334662,3.137086377309841,3.22215941209723,2.1224086870681145,2.224744608399546,2.830188679245283,3.0395136778115504,0.5244755244755245,0.33247695330210064,4.884318766066838,49,33,0,78,16,21,76,21,62,17,73,57,43,98,18,30,9,22,57,2019
80 to 84,0.06191950464396285,0.3929273084479371,0.0,0.6406008394079965,0.5149583128984796,0.8761682242990654,5.825688073394495,0.8798460269452846,2.6457618814306714,1.3944223107569722,2.449505801461109,0.9609949123798757,1.0365251727541955,0.5902383654937571,0.9433962264150944,3.4447821681864235,2.5058275058275057,1.5565966450052895,1.1996572407883461,1,8,0,29,21,30,127,32,54,14,57,17,21,26,6,34,43,103,14,2019
85 and up,0.0,1.2770137524557956,0.0,1.3916500994035785,2.1824423737126044,3.5630841121495327,2.385321100917431,0.0,0.0,1.3944223107569722,1.1602922217447358,1.1305822498586773,0.9378084896347483,0.9988649262202043,3.1446540880503147,8.814589665653495,3.2051282051282053,0.5289406075260692,0.856898029134533,0,26,0,63,89,122,52,0,0,14,27,20,19,44,20,87,55,35,10,2019
0 to 4,7.672301690507152,4.88914155770324,1.8279569892473118,2.320522117476432,11.208214987983395,9.42912123155869,3.202676864244742,3.0523662839540746,4.3928923988154,0.7430997876857749,6.4667291471415185,2.0521353300055463,7.213838792786161,7.8458681522748375,16.183574879227052,3.6548223350253806,5.47112462006079,1.1117365606529692,4.06015037593985,118,86,17,96,513,294,67,109,89,7,138,37,196,338,134,36,72,79,54,2020
