,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,Year
0,22378.0,67627.5,19539.0,41861.75,47278.0,56052.25,90107.0,26969.0,75625.0,46591.0,54817.0,51630.0,71739.0,37969.0,51406.0,57125.0,24698.0,46159.5,51563.0,2013
0,24395.0,66460.5,31406.0,47299.25,41933.333333333336,61111.25,98966.0,25733.5,70598.0,33313.0,59274.0,55809.0,74541.5,46244.5,48750.0,46875.0,35698.0,31045.0,63698.0,2014
0,27198.0,76068.0,32250.0,47094.0,41518.333333333336,66529.5,102396.0,29469.0,72262.0,,60536.0,70602.0,78078.0,45096.5,,43533.0,36507.0,36996.25,70833.0,2015
0,32750.0,87717.5,-666666666.0,47756.0,44214.666666666664,77407.5,98561.33333333333,-333313688.5,80801.0,89583.0,64442.5,66316.0,79245.5,37150.0,27132.0,44784.0,34712.0,-166626944.25,73750.0,2016
0,38409.0,86280.5,-666666666.0,64934.75,42592.333333333336,71087.25,93029.0,31254.5,112917.0,99000.0,71010.5,57024.0,84722.0,40679.5,40114.0,46042.0,42169.0,-166644691.75,66786.0,2017
0,42939.0,102028.0,-666666666.0,-166626300.0,45402.0,80975.0,104114.0,32582.0,117150.0,122875.0,77970.0,58750.0,87351.0,47606.5,43397.0,49207.0,51250.0,36232.0,67054.0,2018
0,44023.0,113523.0,-666666666.0,75619.0,46299.333333333336,85099.75,110252.0,30501.0,119073.0,122639.0,84515.0,62031.0,85777.5,58830.5,42740.0,38636.0,40294.0,-166624866.25,75694.0,2019
0,64783.0,122604.0,18770.0,63770.5,51914.666666666664,90291.5,107993.0,-222206591.33333334,120765.0,191016.0,86086.0,61522.0,85982.0,59333.0,32381.0,94667.0,44870.0,46641.25,75486.0,2020
0,42778.0,92972.0,-666666666.0,76370.75,61601.666666666664,83094.25,108292.66666666667,-222204917.33333334,111842.0,200915.0,89864.5,66250.0,82513.0,68491.5,-666666666.0,97563.0,46250.0,-166619489.75,82542.0,2021
