Race,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year
Black,62.81362007168459,10.552763819095478,4.741379310344827,15.71363220494053,60.92047930283224,8.640807316304006,2.924235711120957,7.105263157894737,34.84982332155477,1.742627345844504,5.737316263632053,9.776902887139107,3.1924460431654675,40.5114401076716,39.59085439229843,17.779960707269154,15.524889107934943,7.9345476999073785,19.402985074626866,701,210,33,687,2237,274,66,270,789,13,121,149,71,1505,329,181,315,514,208,2015
Indigenous - Continental U.S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2105263157894737,0.0,0.0,0.0,0.0,0.40467625899280574,0.3768506056527591,0.0,0.0,0.0,0.293300401358444,0.0,0,0,0,0,0,0,0,46,0,0,0,0,9,14,0,0,0,19,0,2015
Asian,2.867383512544803,1.2060301507537687,15.517241379310345,2.012808783165599,5.991285403050109,4.541154210028382,0.2658396101019052,20.473684210526315,7.243816254416961,24.798927613941018,1.0905642484589853,7.808398950131234,2.1133093525179856,0.6998654104979811,8.062575210589651,2.9469548133595285,11.680630852636767,10.898425439950602,0.0,32,24,108,88,220,144,6,778,164,185,23,119,47,26,67,30,237,706,0,2015
Indigenous - Hawaiian & Pacific Islander,0.0,0.0,0.0,0.0,1.6339869281045751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.080550098231827,0.0,0.0,0.0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2015
Some other race,0.6272401433691757,0.6030150753768844,0.0,0.0,0.0,0.0,0.22153300841825432,1.2105263157894737,0.0,0.0,0.4267425320056899,0.0,0.0,0.9152086137281292,1.5643802647412757,0.0,0.0,0.21611608521148504,0.0,7,12,0,0,0,0,5,46,0,0,9,0,0,34,13,0,0,14,0,2015
Multiracial,5.28673835125448,1.9597989949748744,2.8735632183908044,1.6697163769441903,1.0620915032679739,3.248186691895301,1.8165706690296854,3.6052631578947367,5.918727915194347,1.876675603217158,1.1853959222380275,1.7716535433070866,2.697841726618705,3.6877523553162854,4.332129963898917,7.760314341846758,3.3021192705766387,1.8987341772151898,0.746268656716418,59,39,20,73,39,103,41,137,134,14,25,27,60,137,36,79,67,123,8,2015
White,25.114754098360656,84.36770881941204,80.7185628742515,79.61783439490446,35.33315635784444,83.43373493975903,91.01393560788082,67.94640556557589,52.56124721603563,71.71837708830549,89.48587308939324,81.31313131313131,92.13483146067416,52.29870459740919,34.12384716732543,69.66604823747682,71.44934561318468,79.41841680129241,77.33333333333333,383,1808,674,3500,1331,2770,1894,2637,944,601,1932,1288,1968,2059,259,751,1474,4916,812,2016
Black,56.65573770491803,9.286047596826878,4.07185628742515,17.26569608735214,55.50836209185028,6.144578313253012,2.5949062950504564,7.54960061839732,36.080178173719375,2.386634844868735,6.66975451597962,9.406565656565656,2.762172284644195,38.53187706375413,49.01185770750988,14.007421150278294,14.348036839554048,6.752827140549273,21.80952380952381,864,199,34,759,2091,204,54,293,648,20,144,149,59,1517,372,151,296,418,229,2016
Indigenous - Continental U.S.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.545993300695697,0.0,0.0,0.0,0.0,0.5617977528089888,1.8796037592075183,0.0,0.0,0.0,0.27463651050080773,0.0,0,0,0,0,0,0,0,60,0,0,0,0,12,74,0,0,0,17,0,2016
Asian,12.19672131147541,2.473168455436304,12.455089820359282,1.2966333030027297,5.256172020175206,5.873493975903615,3.700144161460836,18.01082195310487,6.180400890868597,23.985680190930786,1.11162575266327,7.133838383838384,2.5280898876404496,1.2446024892049785,11.857707509881424,3.896103896103896,11.730489578284052,10.807754442649435,0.0,186,53,104,57,198,195,77,699,111,201,24,113,54,49,90,42,242,669,0,2016
