Industry,Fry's Spring,Belmont,Venable,Greenbrier,Jefferson Park Ave,Locust Grove,Ridge Street,Barracks / Rugby,Fifeville,North Downtown,Starr Hill,10th & Page,Barracks Road,Lewis Mountain,The Meadows,Johnson Village,Woolen Mills,Rose Hill,Martha Jefferson,Fry's Springct,Belmontct,Venablect,Greenbrierct,Jefferson Park Avect,Locust Grovect,Ridge Streetct,Barracks / Rugbyct,Fifevillect,North Downtownct,Starr Hillct,10th & Pagect,Barracks Roadct,Lewis Mountainct,The Meadowsct,Johnson Villagect,Woolen Millsct,Rose Hillct,Martha Jeffersonct,Year,Desc
Information,0.481540931,2.241226777,2.724147051,2.702702703,1.202886929,4.117647059,1.866404715,3.839913467,1.404682274,2.758132956,2.366863905,0,5.437352246,2.31884058,7.956600362,1.206636501,2.051983584,0,0,9,76,103,65,15,42,19,71,21,39,12,0,23,16,44,8,15,0,0,2018,Information
Finance & Insurance,3.691813804,3.892657033,1.851362074,3.451143451,10.42502005,2.352941176,5.992141454,3.623580314,6.488294314,6.435643564,9.467455621,0,2.127659574,0.869565217,2.350813743,0,1.23119015,5.119825708,0,69,132,70,83,130,24,61,67,97,91,48,0,9,6,13,0,9,47,0,2018,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,10.70090958,8.876437629,15.04892885,15.09355509,11.94867682,23.43137255,11.29666012,7.950243375,13.77926421,13.22489392,16.96252465,16.55328798,17.96690307,13.62318841,5.424954792,11.46304676,6.292749658,7.189542484,14.21052632,200,301,569,363,149,239,115,147,206,187,86,73,76,94,30,76,46,66,27,2018,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,44.14125201,33.97227956,34.38243851,39.002079,27.50601443,27.94117647,50.68762279,39.75121687,39.53177258,37.62376238,51.08481262,34.69387755,47.04491726,45.79710145,52.079566,33.4841629,47.60601915,36.05664488,49.47368421,825,1152,1300,938,343,285,516,735,591,532,259,153,199,316,288,222,348,331,94,2018,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,8.721241306,14.56797405,15.36630521,13.38877339,19.72734563,5.392156863,12.86836935,10.65440779,13.57859532,19.16548798,11.04536489,10.88435374,2.836879433,7.391304348,4.882459313,25.33936652,19.01504788,16.5577342,15.78947368,163,494,581,322,246,55,131,197,203,271,56,48,12,51,27,168,139,152,30,2018,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,4.066345639,6.42878207,7.590584501,4.948024948,6.255012029,5.490196078,6.974459725,6.381828015,5.484949833,5.58698727,2.366863905,17.00680272,0,7.68115942,1.265822785,10.25641026,7.523939808,1.633986928,7.894736842,76,218,287,119,78,56,71,118,82,79,12,75,0,53,7,68,55,15,15,2018,Other Services
Public Administration,5.029427501,2.300206429,2.248082518,3.16008316,7.297514034,5.784313725,0.392927308,4.326663061,9.565217391,4.59688826,1.775147929,4.308390023,0,1.594202899,5.605786618,0.60331825,2.325581395,0,6.315789474,94,78,85,76,91,59,4,80,143,65,9,19,0,11,31,4,17,0,12,2018,Public Administration
Agriculture,0.691358025,1.616094987,0,0,1.317365269,0.843881857,0,0,0,2.028549962,0,0,0,0,0,0,2.130681818,0,0,14,49,0,0,22,12,0,0,0,27,0,0,0,0,0,0,15,0,0,2019,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,3.50617284,4.551451187,1.709712623,4.188481675,0,5.485232068,5.322371268,6.171809842,8.695652174,2.178812923,2.570093458,2.06185567,0,0,3.753910323,2.098540146,4.6875,0,0,71,138,47,48,0,78,123,74,164,29,11,16,0,0,36,23,33,0,0,2019,Construction
Manufacturing,2.271604938,8.970976253,2.801018552,5.322862129,0.898203593,1.406469761,4.586758979,5.337781485,1.484623542,2.404207363,0,0.128865979,12.92775665,0,7.507820647,6.843065693,1.5625,0,3.400735294,46,272,77,61,15,20,106,64,28,32,0,1,34,0,72,75,11,0,37,2019,Manufacturing
Wholesale,0,0.758575198,0,3.228621291,1.377245509,2.390998594,0,0,1.166489926,0,0,0,0,0,0,0,4.829545455,0,1.930147059,0,23,0,37,23,34,0,0,22,0,0,0,0,0,0,0,34,0,21,2019,Wholesale Trade
Retail,7.950617284,12.30211082,6.329574391,10.47120419,5.628742515,8.931082982,13.11120727,10.00834028,6.415694592,2.479338843,3.504672897,18.04123711,3.041825095,3.676470588,6.569343066,2.828467153,3.267045455,5.913978495,10.66176471,161,373,174,120,94,127,303,120,121,33,15,140,8,15,63,31,23,22,116,2019,Retail Trade
Transportation,0.691358025,0.362796834,1.127682794,1.134380454,0,1.687763713,1.601038511,0,6.5747614,0,3.271028037,0,0.380228137,0,3.128258603,0,3.409090909,10.48387097,2.022058824,14,11,31,13,0,24,37,0,124,0,14,0,1,0,30,0,24,39,22,2019,"Transportation,<br>Warehousing, Utilities"
Information,4,2.86939314,3.273917788,0.785340314,2.574850299,3.305203938,1.427953267,5.087572977,1.855779427,3.531179564,3.037383178,0,3.041825095,1.225490196,5.005213764,0,0.426136364,0,2.665441176,81,87,90,9,43,47,33,61,35,47,13,0,8,5,48,0,3,0,29,2019,Information
Finance & Insurance,6.222222222,4.023746702,3.346671517,5.061082024,0.239520958,8.298171589,7.009952402,2.251876564,2.49204666,6.611570248,11.91588785,3.608247423,0,3.676470588,2.398331595,0.912408759,0.994318182,4.301075269,6.433823529,126,122,92,58,4,118,162,27,47,88,51,28,0,15,23,10,7,16,70,2019,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,12,12.13720317,9.057839214,17.27748691,5.688622754,10.97046414,10.99091302,15.67973311,7.688229056,17.58076634,24.53271028,10.05154639,20.53231939,11.51960784,13.03441084,12.04379562,11.93181818,17.74193548,21.59926471,243,368,249,198,95,156,254,188,145,234,105,78,54,47,125,132,84,66,235,2019,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,45.62962963,33.57519789,44.23426701,37.2600349,56.52694611,35.09142053,33.79489399,34.44537114,34.252386,33.65890308,33.64485981,23.71134021,39.54372624,58.82352941,37.33055266,44.98175182,43.46590909,36.02150538,33.91544118,924,1018,1216,427,944,499,781,413,646,448,144,184,104,240,358,493,306,134,369,2019,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,6.172839506,13.06068602,21.06220444,6.719022688,18.14371257,12.58790436,14.75551709,9.841534612,13.1495228,18.8580015,12.85046729,17.91237113,12.16730038,13.97058824,6.569343066,19.06934307,14.48863636,16.39784946,9.283088235,125,396,579,77,303,179,341,118,248,251,55,139,32,57,63,209,102,61,101,2019,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,4.395061728,2.770448549,5.092761004,4.10122164,4.491017964,5.274261603,5.668541757,9.007506255,12.83138918,6.235912847,3.037383178,16.8814433,4.562737643,7.107843137,10.84462982,9.032846715,6.818181818,9.139784946,5.147058824,89,84,140,47,75,75,131,108,242,83,13,131,12,29,104,99,48,34,56,2019,Other Services
Public Administration,6.469135802,3.001319261,1.964350673,4.45026178,3.113772455,3.727144866,1.730852445,2.168473728,3.393425239,4.432757325,1.635514019,7.603092784,3.802281369,0,3.85818561,2.189781022,1.988636364,0,2.941176471,131,91,54,51,52,53,40,26,64,59,7,59,10,0,37,24,14,0,32,2019,Public Administration
