Industry,Fry's Spring,Belmont,Venable,Greenbrier,Jefferson Park Ave,Locust Grove,Ridge Street,Barracks / Rugby,Fifeville,North Downtown,Starr Hill,10th & Page,Barracks Road,Lewis Mountain,The Meadows,Johnson Village,Woolen Mills,Rose Hill,Martha Jefferson,Fry's Springct,Belmontct,Venablect,Greenbrierct,Jefferson Park Avect,Locust Grovect,Ridge Streetct,Barracks / Rugbyct,Fifevillect,North Downtownct,Starr Hillct,10th & Pagect,Barracks Roadct,Lewis Mountainct,The Meadowsct,Johnson Villagect,Woolen Millsct,Rose Hillct,Martha Jeffersonct,Year,Desc
Transportation,5.155131265,1.108156028,1.359649123,2.241297091,3.882657463,0,3.29787234,0,0.515259612,1.523545706,0,4.566929134,1.050788091,6.25,0,1.19474313,7.692307692,0,6.415929204,108,25,31,47,45,0,31,0,13,22,0,29,6,28,0,10,50,0,29,2014,"Transportation,<br>Warehousing, Utilities"
Information,0.76372315,3.368794326,3.026315789,0,4.227782571,3.971354167,0,6.878306878,0.990883868,1.662049861,4.78781284,4.409448819,9.281961471,3.794642857,4.719764012,0.836320191,2.461538462,2.891566265,3.761061947,16,76,69,0,49,61,0,65,25,24,44,28,53,17,16,7,16,12,17,2014,Information
Finance & Insurance,3.150357995,4.875886525,2.368421053,4.673342871,0,2.669270833,0.85106383,4.338624339,0.673801031,2.216066482,2.285092492,8.503937008,0,0,2.064896755,4.898446834,4.307692308,12.53012048,15.26548673,66,110,54,98,0,41,8,41,17,32,21,54,0,0,7,41,28,52,69,2014,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,14.65393795,11.25886525,18.07017544,9.060562709,14.92666091,13.02083333,12.34042553,18.2010582,12.1680539,12.9501385,13.92818281,16.53543307,10.33274956,20.98214286,15.33923304,10.75268817,14.15384615,23.37349398,15.26548673,307,254,412,190,173,200,116,172,307,187,128,105,59,94,52,90,92,97,69,2014,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,42.38663484,45.65602837,38.81578947,52.78969957,43.31320104,42.96875,30.74468085,38.2010582,35.35473642,23.47645429,36.77910773,35.11811024,25.39404553,54.01785714,59.8820059,33.45280765,36.92307692,36.62650602,44.02654867,888,1030,885,1107,502,660,289,361,892,339,338,223,145,242,203,280,240,152,199,2014,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,12.64916468,14.62765957,13.90350877,13.25703386,13.45987921,13.34635417,6.914893617,10.79365079,20.76892588,9.210526316,10.44613711,12.75590551,21.89141856,3.571428571,2.359882006,3.225806452,19.84615385,8.192771084,0,265,330,317,278,156,205,65,102,524,133,96,81,125,16,8,27,129,34,0,2014,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,4.248210024,2.703900709,4.166666667,3.719599428,2.243313201,5.794270833,7.446808511,4.126984127,5.826397146,12.53462604,5.005440696,1.102362205,0.875656743,0,0,14.21744325,4.769230769,1.445783133,3.097345133,89,61,95,78,26,89,70,39,147,181,46,7,5,0,0,119,31,6,14,2014,Other Services
Public Administration,2.720763723,1.374113475,4.780701754,2.145922747,0.86281277,5.208333333,2.765957447,2.962962963,0.594530321,3.670360111,7.508161045,10.70866142,14.01050788,4.464285714,5.014749263,6.571087216,0,5.060240964,0,57,31,109,45,10,80,26,28,15,53,69,68,80,20,17,55,0,21,0,2014,Public Administration
Agriculture,1.259445844,1.167444963,0.281463611,0.731528895,0,0,0,0,0.354251012,5.242718447,0,0,0,0,0,0,0,0,0,40,35,7,10,0,0,0,0,7,81,0,0,0,0,0,0,0,0,0,2015,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,6.108312343,3.902601734,3.65902694,3.950256035,0.985761227,0,5.843293493,4.058441558,2.834008097,2.459546926,2.093718843,5.389221557,2.90275762,0,0,5.675675676,4.112149533,0,3.153153153,194,117,91,54,9,0,88,50,56,38,21,27,20,0,0,42,22,0,14,2015,Construction
Manufacturing,3.998740554,2.268178786,3.498190591,1.024140454,4.709748083,4.130262113,0,3.896103896,8.755060729,1.100323625,3.489531406,2.395209581,0,4.235294118,3.512880562,10.13513514,0.934579439,4.188481675,3.603603604,127,68,87,14,43,52,0,48,173,17,35,12,0,18,15,75,5,16,16,2015,Manufacturing
Wholesale,2.204030227,0.633755837,0.522718134,1.170446233,0,1.270849881,0.597609562,0.487012987,2.226720648,0,0,0,0,0,0,0,4.672897196,0,0,70,19,13,16,0,16,9,6,44,0,0,0,0,0,0,0,25,0,0,2015,Wholesale Trade
Retail,8.280856423,10.67378252,6.473663048,2.340892465,4.052573932,4.447974583,21.58034529,9.577922078,15.23279352,10.67961165,5.682951147,7.784431138,11.61103048,6.117647059,10.30444965,2.432432432,9.53271028,3.141361257,11.71171171,263,320,161,32,37,56,325,118,301,165,57,39,80,26,44,18,51,12,52,2015,Retail Trade
Transportation,1.889168766,1.367578386,1.487736228,0,4.162102957,1.906274821,2.058432935,0,2.024291498,3.495145631,1.196410768,0,6.676342525,0,7.025761124,0,5.046728972,0,0,60,41,37,0,38,24,31,0,40,54,12,0,46,0,30,0,27,0,0,2015,"Transportation,<br>Warehousing, Utilities"
Information,3.243073048,3.702468312,4.82509047,1.463057791,3.504928806,0.31771247,1.062416999,0.811688312,0,1.812297735,0.697906281,1.19760479,2.90275762,0,3.512880562,4.054054054,2.803738318,4.45026178,0,103,111,120,20,32,4,16,10,0,28,7,6,20,0,15,30,15,17,0,2015,Information
Finance & Insurance,3.557934509,1.73448966,2.533172497,8.339429407,3.614457831,0.953137411,0.664010624,3.977272727,0.910931174,2.265372168,7.676969093,0,0,13.17647059,13.34894614,8.243243243,2.056074766,6.544502618,2.027027027,113,52,63,114,33,12,10,49,18,35,77,0,0,56,57,61,11,25,9,2015,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,8.186397985,18.74583055,15.07840772,17.92245794,10.73384447,4.924543288,4.780876494,9.172077922,9.159919028,17.60517799,17.84646062,20.15968064,11.03047896,20,17.09601874,20.81081081,17.75700935,14.92146597,20.4954955,260,562,375,245,98,62,72,113,181,272,179,101,76,85,73,154,95,57,91,2015,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,36.20906801,30.35356905,31.2424608,47.32991953,51.25958379,58.14138205,46.61354582,38.63636364,32.54048583,26.73139159,37.38783649,53.49301397,47.16981132,39.05882353,39.3442623,31.21621622,37.19626168,64.39790576,39.63963964,1150,910,777,647,468,732,702,476,643,413,375,268,325,166,168,231,199,246,176,2015,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,15.86901763,18.31220814,19.66224367,5.559619605,8.324205915,19.14217633,11.02257636,18.34415584,13.91700405,18.25242718,3.589232303,7.385229541,13.49782293,8.941176471,2.576112412,9.189189189,14.01869159,0,15.99099099,504,549,489,76,76,241,166,226,275,282,36,37,93,38,11,68,75,0,71,2015,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,6.391687657,5.30353569,3.860072376,5.852231163,4.928806134,2.700555997,3.652058433,4.383116883,8.097165992,9.579288026,14.35692921,0,2.757619739,2.117647059,3.278688525,5.27027027,0,0,1.576576577,203,159,96,80,45,34,55,54,160,148,144,0,19,9,14,39,0,0,7,2015,Other Services
Public Administration,2.802267003,1.834556371,6.87575392,4.316020483,3.723986857,2.065131056,2.124833997,6.655844156,3.947368421,0.776699029,5.982053838,2.195608782,1.45137881,6.352941176,0,2.972972973,1.869158879,2.356020942,1.801801802,89,55,171,59,34,26,32,82,78,12,60,11,10,27,0,22,10,9,8,2015,Public Administration
Agriculture,0,2.264150943,0.365853659,3.523809524,1.13913751,0,0,0,0,0,4.737516005,0,0,0,0,0,0,0,0,0,66,9,74,14,0,0,0,0,0,37,0,0,0,0,0,0,0,0,2016,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,3.672316384,5.557461407,3.577235772,1.428571429,1.220504475,1.102629347,1.904761905,4.194630872,5.610021786,1.127554616,0,9.555984556,0,2.162162162,6.910994764,7.186858316,7.142857143,3.839122486,4.87804878,117,162,88,30,15,13,26,50,103,16,0,99,0,8,66,35,45,21,12,2016,Construction
Manufacturing,4.676710609,1.578044597,3.333333333,2.857142857,10.49633849,4.240882103,3.58974359,5.704697987,0.980392157,4.087385483,1.792573624,5.791505792,7.352941176,0,0.732984293,1.848049281,0,3.10786106,4.87804878,149,46,82,60,129,50,49,68,18,58,14,60,15,0,7,9,0,17,12,2016,Manufacturing
Wholesale,0.69052103,3.876500858,0,0.904761905,5.288852726,1.781170483,0,0.922818792,0.326797386,0,0.640204866,0,0,0,0,0,0,0,5.691056911,22,113,0,19,65,21,0,11,6,0,5,0,0,0,0,0,0,0,14,2016,Wholesale Trade
Retail,12.11550534,6.072041166,11.70731707,10.33333333,8.380797396,6.191687871,16.26373626,6.963087248,15.03267974,5.214940099,8.322663252,7.432432432,0,2.432432432,12.04188482,8.213552361,11.26984127,6.398537477,9.349593496,386,177,288,217,103,73,222,83,276,74,65,77,0,9,115,40,71,35,23,2016,Retail Trade
Transportation,0.847457627,1.303602058,1.991869919,4,0.65093572,2.120441052,2.051282051,0.922818792,2.668845316,2.043692741,1.408450704,3.861003861,0,0,1.361256545,0,2.380952381,0,0,27,38,49,84,8,25,28,11,49,29,11,40,0,0,13,0,15,0,0,2016,"Transportation,<br>Warehousing, Utilities"
