id,airbnb_property_id,homeaway_property_id,m_homeaway_property_id,title,room_type,property_type,adr,occ,revenue,reviews,rating,bedrooms,accommodates,bathrooms,latitude,longitude,days_available,img_cover,regions
424167354,44097309,,,Luxury Downtown Condo,Entire home/apt,Condo,337.22223,permission_denied,permission_denied,1,10.0,2,4,2.0,38.0331,-78.49312,57,https://a0.muscache.com/im/pictures/c40d3f84-bb7c-4aad-b544-e058fa421db2.jpg?aki_policy=x_large,[21399]
424200444,48681240,,,Holmes House,Entire home/apt,Home,180.3653,permission_denied,permission_denied,41,9.9,2,4,1.0,38.04239,-78.46567,246,https://a0.muscache.com/im/pictures/1d77da3c-34b6-47ba-bd0a-2be74a802757.jpg?aki_policy=x_large,[21394]
424359548,48742258,,,"Steps from Stonefield, gorgeous 2 bedroom condo",Entire home/apt,Condo,678.9524,permission_denied,permission_denied,1,10.0,2,5,1.0,38.06813,-78.49765,38,https://a0.muscache.com/im/pictures/miso/Hosting-48742258/original/12e1b8b9-5c32-45e3-bf1e-16f75275f21b.jpeg?aki_policy=x_large,[21394]
425356271,46748654,,,Renovated 5BR Home Close to UVA/Downtown,Entire home/apt,Home,538.83484,permission_denied,permission_denied,9,9.6,5,8,3.0,38.02094,-78.5023,259,https://a0.muscache.com/im/pictures/39ce23e2-6e6b-4589-b0f4-25e83f45daab.jpg?aki_policy=x_large,[21399]
425411551,48803613,,,Green Street Bungalow,Entire home/apt,Bungalow,213.3108,permission_denied,permission_denied,41,9.9,2,4,1.0,38.01577,-78.48208,216,https://a0.muscache.com/im/pictures/d62f44eb-5606-47de-8c23-1d68e3bf6b62.jpg?aki_policy=x_large,[21398]
425683622,48823252,,2243020,Honey B (Honey House 2) Newly renovated near UVA,Entire home/apt,Cottage,196.68619,permission_denied,permission_denied,63,10.0,1,2,1.0,38.01161,-78.54073,358,https://a0.muscache.com/im/pictures/ce3a2d87-a4a5-4114-825e-2eebe9637ab7.jpg?aki_policy=x_large,[21399]
427640344,29121007,,,A place to call home in the heart of Cville,Entire home/apt,Rental unit,130.0,permission_denied,permission_denied,2,10.0,1,1,1.0,38.03405,-78.47361,4,https://a0.muscache.com/im/pictures/3de1b52a-870f-4d97-b435-f663f3f8ebf2.jpg?aki_policy=x_large,[21398]
427742364,48849151,,,Cville Brick n'' Pine,Entire home/apt,Home,158.33334,permission_denied,permission_denied,7,10.0,1,2,1.0,38.04053,-78.47798,19,https://a0.muscache.com/im/pictures/ae87c36e-0867-4a21-bcbb-f2c1cf307111.jpg?aki_policy=x_large,[21399]
427823646,48789459,,,Now Available!! Newly completed basement apartment,Private room,Home,150.875,permission_denied,permission_denied,0,,1,1,1.0,38.06707,-78.47006,45,https://a0.muscache.com/im/pictures/2243b464-a5ca-45c8-be70-cd07422c53a9.jpg?aki_policy=x_large,[21394]
428335931,42751499,,,Be a ‘Hoo for a month or longer!,Entire home/apt,Townhouse,230.09259,permission_denied,permission_denied,2,10.0,4,4,3.5,38.04839,-78.52019,102,https://a0.muscache.com/im/pictures/fb88637f-a0c8-4a05-92c6-58079a20eb3a.jpg?aki_policy=x_large,[21399]
430610404,49050893,,,Hollymead House Charlottesville Guesthouse #4,Private room,Bed and breakfast,277.7745,permission_denied,permission_denied,19,10.0,1,2,1.0,38.11833,-78.44225,364,https://a0.muscache.com/im/pictures/3a903bc7-ef28-46ef-adfc-c59f5f316378.jpg?aki_policy=x_large,[21403]
430665342,48729963,,,Hollymead House Charlottesville guesthouse #1,Private room,Bed and breakfast,266.84415,permission_denied,permission_denied,15,9.6,1,2,1.0,38.11858,-78.44433,365,https://a0.muscache.com/im/pictures/6c7f7216-162a-4efe-bdec-1bffe91b9fd5.jpg?aki_policy=x_large,[21403]
430794617,49050843,,,Hollymead House Charlottesville Guesthouse #3,Private room,Bed and breakfast,259.8889,permission_denied,permission_denied,12,9.8,1,2,1.0,38.11981,-78.444,365,https://a0.muscache.com/im/pictures/15f7158d-1be0-422d-af81-d1276286f661.jpg?aki_policy=x_large,[21403]
431201555,49062881,,,"The Metal House, 3 miles from UVA Grounds",Entire home/apt,Home,1070.0,permission_denied,permission_denied,0,,4,8,3.5,38.0233,-78.45765,31,https://a0.muscache.com/im/pictures/9a8ddf8f-4066-4b7a-924e-18f5af170711.jpg?aki_policy=x_large,[21398]
431475883,49151790,,,Beautiful home on tree-lined street steps from UVA,Entire home/apt,Home,2215.8538,permission_denied,permission_denied,2,10.0,5,10,3.5,38.04632,-78.50166,59,https://a0.muscache.com/im/pictures/4c40ac5f-24b2-4ef8-a7d8-b8f9f019aa24.jpg?aki_policy=x_large,[21399]
431503190,48591506,,,Hollymead House Charlottesville Guesthouse #2,Private room,Bed and breakfast,263.04544,permission_denied,permission_denied,9,10.0,1,2,1.0,38.11921,-78.44293,241,https://a0.muscache.com/im/pictures/a2bc5676-a228-489b-8e17-fd0a3ebc24f8.jpg?aki_policy=x_large,[21403]
435375643,49179366,,,Updated City home. 2.9 miles from UVA hospital,Private room,Home,68.75,permission_denied,permission_denied,2,10.0,1,1,1.0,38.0689,-78.46578,61,https://a0.muscache.com/im/pictures/dffa14e0-8fd1-47e1-b6bd-7815bbef6603.jpg?aki_policy=x_large,[21394]
435723937,49232223,,,Renovated city home. 2.9 miles to UVA hospital.,Private room,Home,47.267857,permission_denied,permission_denied,5,8.0,1,1,1.0,38.06751,-78.46709,87,https://a0.muscache.com/im/pictures/49dc5a63-aec7-403e-b4b8-d29612bbf9b8.jpg?aki_policy=x_large,[21394]
436475263,49257959,,,"Beautiful Mountain Views, Near UVA & Downtown",Entire home/apt,Townhouse,338.8889,permission_denied,permission_denied,1,10.0,2,6,3.0,37.99119,-78.49825,9,https://a0.muscache.com/im/pictures/041e88cb-5db4-4239-bbfd-3077276bf8d8.jpg?aki_policy=x_large,[21398]
436561372,49274441,,,Charming C''ville Home Close to UVA,Entire home/apt,Home,416.34613,permission_denied,permission_denied,13,10.0,3,6,2.0,38.0385,-78.51051,30,https://a0.muscache.com/im/pictures/2fff29d2-59d6-4c45-b610-769d29653a5d.jpg?aki_policy=x_large,[21399]
436785218,49233486,,,Guest cottage minutes from Charlottesville,Entire home/apt,Guesthouse,195.34883,permission_denied,permission_denied,5,10.0,0,2,1.0,38.11786,-78.45675,44,https://a0.muscache.com/im/pictures/bb191ed3-0dbc-46d0-9237-41699793fcb5.jpg?aki_policy=x_large,[21403]
437243145,48995354,,,"The Cherry Tree, downtown estate, 8 parking spaces",Entire home/apt,Home,1153.5883,permission_denied,permission_denied,44,9.9,5,16,5.5,38.02925,-78.48593,360,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48995354/original/ffe47b3b-c98e-449e-9a9a-b7a65be517da.jpeg?aki_policy=x_large,[21399]
437413323,48832211,,,Relaxing 2BR Rancher on Meadow Creek & Rivanna Trl,Entire home/apt,Home,381.18182,permission_denied,permission_denied,23,9.7,2,5,1.0,38.04464,-78.46201,19,https://a0.muscache.com/im/pictures/bf0b3ac7-31d0-49be-9378-4c9d6cb2c920.jpg?aki_policy=x_large,[21394]
437528279,49368069,,,Newly renovated home close to everything,Entire home/apt,Home,349.1376,permission_denied,permission_denied,24,10.0,3,5,1.0,38.03419,-78.4911,265,https://a0.muscache.com/im/pictures/b2fc3fc5-2435-405b-9734-5e0f12dea301.jpg?aki_policy=x_large,[21399]
