Industry,Barracks Road
Agriculture,0
Construction,0
Manufacturing,34
Wholesale,0
Retail,8
Transportation,1
Information,8
Finance & Insurance,0
Professional,54
Education & Healthcare,104
Entertainment,32
Other Services,12
Public Administration,10
